ID	Gene Name	Species	REACTOME_PATHWAY
IMPDH2	inosine monophosphate dehydrogenase 2(IMPDH2)	Homo sapiens	R-HSA-1430728~Metabolism,R-HSA-15869~Metabolism of nucleotides,R-HSA-1643685~Disease,R-HSA-168249~Innate Immune System,R-HSA-168256~Immune System,R-HSA-5663205~Infectious disease,R-HSA-6798695~Neutrophil degranulation,R-HSA-73817~Purine ribonucleoside monophosphate biosynthesis,R-HSA-8956320~Nucleotide biosynthesis,R-HSA-9679191~Potential therapeutics for SARS,R-HSA-9679506~SARS-CoV Infections,R-HSA-9748784~Drug ADME,R-HSA-9748787~Azathioprine ADME,R-HSA-9824446~Viral Infection Pathways,
INPP5D	inositol polyphosphate-5-phosphatase D(INPP5D)	Homo sapiens	R-HSA-109582~Hemostasis,R-HSA-1280215~Cytokine Signaling in Immune system,R-HSA-1280218~Adaptive Immune System,R-HSA-1430728~Metabolism,R-HSA-1483249~Inositol phosphate metabolism,R-HSA-1483255~PI Metabolism,R-HSA-1483257~Phospholipid metabolism,R-HSA-1660499~Synthesis of PIPs at the plasma membrane,R-HSA-168256~Immune System,R-HSA-1855204~Synthesis of IP3 and IP4 in the cytosol,R-HSA-202403~TCR signaling,R-HSA-202424~Downstream TCR signaling,R-HSA-202733~Cell surface interactions at the vascular wall,R-HSA-210990~PECAM1 interactions,R-HSA-449147~Signaling by Interleukins,R-HSA-451927~Interleukin-2 family signaling,R-HSA-512988~Interleukin-3, Interleukin-5 and GM-CSF signaling,R-HSA-556833~Metabolism of lipids,R-HSA-912526~Interleukin receptor SHC signaling,R-HSA-9680350~Signaling by CSF1 (M-CSF) in myeloid cells,
ILK	integrin linked kinase(ILK)	Homo sapiens	R-HSA-1500931~Cell-Cell communication,R-HSA-446343~Localization of the PINCH-ILK-PARVIN complex to focal adhesions,R-HSA-446353~Cell-extracellular matrix interactions,R-HSA-446728~Cell junction organization,
ITGAE	integrin subunit alpha E(ITGAE)	Homo sapiens	R-HSA-1474244~Extracellular matrix organization,R-HSA-216083~Integrin cell surface interactions,
ITGAL	integrin subunit alpha L(ITGAL)	Homo sapiens	R-HSA-109582~Hemostasis,R-HSA-1280218~Adaptive Immune System,R-HSA-1474244~Extracellular matrix organization,R-HSA-168249~Innate Immune System,R-HSA-168256~Immune System,R-HSA-198933~Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,R-HSA-202733~Cell surface interactions at the vascular wall,R-HSA-212436~Generic Transcription Pathway,R-HSA-216083~Integrin cell surface interactions,R-HSA-6798695~Neutrophil degranulation,R-HSA-73857~RNA Polymerase II Transcription,R-HSA-74160~Gene expression (Transcription),R-HSA-8878159~Transcriptional regulation by RUNX3,R-HSA-8949275~RUNX3 Regulates Immune Response and Cell Migration,
ITGB2	integrin subunit beta 2(ITGB2)	Homo sapiens	R-HSA-109582~Hemostasis,R-HSA-1280215~Cytokine Signaling in Immune system,R-HSA-1280218~Adaptive Immune System,R-HSA-1474244~Extracellular matrix organization,R-HSA-166016~Toll Like Receptor 4 (TLR4) Cascade,R-HSA-168249~Innate Immune System,R-HSA-168256~Immune System,R-HSA-168898~Toll-like Receptor Cascades,R-HSA-198933~Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,R-HSA-202733~Cell surface interactions at the vascular wall,R-HSA-216083~Integrin cell surface interactions,R-HSA-449147~Signaling by Interleukins,R-HSA-6785807~Interleukin-4 and Interleukin-13 signaling,R-HSA-6798695~Neutrophil degranulation,
ICAM3	intercellular adhesion molecule 3(ICAM3)	Homo sapiens	R-HSA-1280218~Adaptive Immune System,R-HSA-1474244~Extracellular matrix organization,R-HSA-168249~Innate Immune System,R-HSA-168256~Immune System,R-HSA-198933~Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,R-HSA-216083~Integrin cell surface interactions,R-HSA-5621481~C-type lectin receptors (CLRs),R-HSA-5621575~CD209 (DC-SIGN) signaling,
IFI16	interferon gamma inducible protein 16(IFI16)	Homo sapiens	R-HSA-168249~Innate Immune System,R-HSA-168256~Immune System,R-HSA-1834941~STING mediated induction of host immune responses,R-HSA-1834949~Cytosolic sensors of pathogen-associated DNA ,R-HSA-3270619~IRF3-mediated induction of type I IFN,
IFITM1	interferon induced transmembrane protein 1(IFITM1)	Homo sapiens	R-HSA-1280215~Cytokine Signaling in Immune system,R-HSA-1280218~Adaptive Immune System,R-HSA-168256~Immune System,R-HSA-198933~Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,R-HSA-909733~Interferon alpha/beta signaling,R-HSA-913531~Interferon Signaling,
IRF1	interferon regulatory factor 1(IRF1)	Homo sapiens	R-HSA-109582~Hemostasis,R-HSA-1280215~Cytokine Signaling in Immune system,R-HSA-168256~Immune System,R-HSA-5218859~Regulated Necrosis,R-HSA-5357801~Programmed Cell Death,R-HSA-5620971~Pyroptosis,R-HSA-877300~Interferon gamma signaling,R-HSA-909733~Interferon alpha/beta signaling,R-HSA-913531~Interferon Signaling,R-HSA-983231~Factors involved in megakaryocyte development and platelet production,
IRF7	interferon regulatory factor 7(IRF7)	Homo sapiens	R-HSA-1280215~Cytokine Signaling in Immune system,R-HSA-1643685~Disease,R-HSA-166016~Toll Like Receptor 4 (TLR4) Cascade,R-HSA-166166~MyD88-independent TLR4 cascade ,R-HSA-168138~Toll Like Receptor 9 (TLR9) Cascade,R-HSA-168164~Toll Like Receptor 3 (TLR3) Cascade,R-HSA-168181~Toll Like Receptor 7/8 (TLR7/8) Cascade,R-HSA-168249~Innate Immune System,R-HSA-168256~Immune System,R-HSA-168898~Toll-like Receptor Cascades,R-HSA-168928~DDX58/IFIH1-mediated induction of interferon-alpha/beta,R-HSA-1834949~Cytosolic sensors of pathogen-associated DNA ,R-HSA-3134963~DEx/H-box helicases activate type I IFN and inflammatory cytokines production ,R-HSA-5663205~Infectious disease,R-HSA-877300~Interferon gamma signaling,R-HSA-9013973~TICAM1-dependent activation of IRF3/IRF7,R-HSA-909733~Interferon alpha/beta signaling,R-HSA-913531~Interferon Signaling,R-HSA-918233~TRAF3-dependent IRF activation pathway,R-HSA-933541~TRAF6 mediated IRF7 activation,R-HSA-936964~Activation of IRF3, IRF7 mediated by TBK1, IKBKE,R-HSA-937061~TRIF(TICAM1)-mediated TLR4 signaling ,R-HSA-9679506~SARS-CoV Infections,R-HSA-9694516~SARS-CoV-2 Infection,R-HSA-9705671~SARS-CoV-2 activates/modulates innate and adaptive immune responses,R-HSA-9705683~SARS-CoV-2-host interactions,R-HSA-975110~TRAF6 mediated IRF7 activation in TLR7/8 or 9 signaling,R-HSA-975155~MyD88 dependent cascade initiated on endosome,R-HSA-9824446~Viral Infection Pathways,
IL10RA	interleukin 10 receptor subunit alpha(IL10RA)	Homo sapiens	R-HSA-1280215~Cytokine Signaling in Immune system,R-HSA-1643685~Disease,R-HSA-168256~Immune System,R-HSA-449147~Signaling by Interleukins,R-HSA-5663202~Diseases of signal transduction by growth factor receptors and second messengers,R-HSA-6783783~Interleukin-10 signaling,R-HSA-9700206~Signaling by ALK in cancer,R-HSA-9725370~Signaling by ALK fusions and activated point mutants,R-HSA-9725371~Nuclear events stimulated by ALK signaling in cancer,
IL2RB	interleukin 2 receptor subunit beta(IL2RB)	Homo sapiens	R-HSA-1280215~Cytokine Signaling in Immune system,R-HSA-162582~Signal Transduction,R-HSA-168256~Immune System,R-HSA-449147~Signaling by Interleukins,R-HSA-451927~Interleukin-2 family signaling,R-HSA-512988~Interleukin-3, Interleukin-5 and GM-CSF signaling,R-HSA-5673001~RAF/MAP kinase cascade,R-HSA-5683057~MAPK family signaling cascades,R-HSA-5684996~MAPK1/MAPK3 signaling,R-HSA-8983432~Interleukin-15 signaling,R-HSA-9020558~Interleukin-2 signaling,R-HSA-912526~Interleukin receptor SHC signaling,
IL2RG	interleukin 2 receptor subunit gamma(IL2RG)	Homo sapiens	R-HSA-1266695~Interleukin-7 signaling,R-HSA-1280215~Cytokine Signaling in Immune system,R-HSA-162582~Signal Transduction,R-HSA-168256~Immune System,R-HSA-201556~Signaling by ALK,R-HSA-449147~Signaling by Interleukins,R-HSA-451927~Interleukin-2 family signaling,R-HSA-512988~Interleukin-3, Interleukin-5 and GM-CSF signaling,R-HSA-5673001~RAF/MAP kinase cascade,R-HSA-5683057~MAPK family signaling cascades,R-HSA-5684996~MAPK1/MAPK3 signaling,R-HSA-6785807~Interleukin-4 and Interleukin-13 signaling,R-HSA-8983432~Interleukin-15 signaling,R-HSA-8985947~Interleukin-9 signaling,R-HSA-9006934~Signaling by Receptor Tyrosine Kinases,R-HSA-9020558~Interleukin-2 signaling,R-HSA-9020958~Interleukin-21 signaling,R-HSA-912526~Interleukin receptor SHC signaling,R-HSA-9701898~STAT3 nuclear events downstream of ALK signaling,
IL27RA	interleukin 27 receptor subunit alpha(IL27RA)	Homo sapiens	R-HSA-1280215~Cytokine Signaling in Immune system,R-HSA-168256~Immune System,R-HSA-447115~Interleukin-12 family signaling,R-HSA-449147~Signaling by Interleukins,R-HSA-8984722~Interleukin-35 Signalling,R-HSA-9020956~Interleukin-27 signaling,
ILF3	interleukin enhancer binding factor 3(ILF3)	Homo sapiens	R-HSA-1169410~Antiviral mechanism by IFN-stimulated genes,R-HSA-1280215~Cytokine Signaling in Immune system,R-HSA-1500931~Cell-Cell communication,R-HSA-168256~Immune System,R-HSA-418990~Adherens junctions interactions,R-HSA-421270~Cell-cell junction organization,R-HSA-446728~Cell junction organization,R-HSA-913531~Interferon Signaling,R-HSA-9759475~Regulation of CDH11 Expression and Function,R-HSA-9759476~Regulation of Homotypic Cell-Cell Adhesion,R-HSA-9762293~Regulation of CDH11 gene transcription,R-HSA-9764260~Regulation of Expression and Function of Type II Classical Cadherins,R-HSA-9833482~PKR-mediated signaling,
IFT20	intraflagellar transport 20(IFT20)	Homo sapiens	R-HSA-1852241~Organelle biogenesis and maintenance,R-HSA-5617833~Cilium Assembly,R-HSA-5620924~Intraflagellar transport,
IDH3B	isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit beta(IDH3B)	Homo sapiens	R-HSA-1428517~The citric acid (TCA) cycle and respiratory electron transport,R-HSA-1430728~Metabolism,R-HSA-71403~Citric acid cycle (TCA cycle),R-HSA-71406~Pyruvate metabolism and Citric Acid (TCA) cycle,
JARID2	jumonji and AT-rich interaction domain containing 2(JARID2)	Homo sapiens	R-HSA-212165~Epigenetic regulation of gene expression,R-HSA-212300~PRC2 methylates histones and DNA,R-HSA-74160~Gene expression (Transcription),
KPNA1	karyopherin subunit alpha 1(KPNA1)	Homo sapiens	R-HSA-109581~Apoptosis,R-HSA-1169408~ISG15 antiviral mechanism,R-HSA-1169410~Antiviral mechanism by IFN-stimulated genes,R-HSA-1280215~Cytokine Signaling in Immune system,R-HSA-140342~Apoptosis induced DNA fragmentation,R-HSA-162587~HIV Life Cycle,R-HSA-162592~Integration of provirus,R-HSA-162594~Early Phase of HIV Life Cycle,R-HSA-162906~HIV Infection,R-HSA-162909~Host Interactions of HIV factors,R-HSA-1643685~Disease,R-HSA-168255~Influenza Infection,R-HSA-168256~Immune System,R-HSA-168271~Transport of Ribonucleoproteins into the Host Nucleus,R-HSA-168276~NS1 Mediated Effects on Host Pathways,R-HSA-176033~Interactions of Vpr with host cellular proteins,R-HSA-180910~Vpr-mediated nuclear import of PICs,R-HSA-5357801~Programmed Cell Death,R-HSA-5663205~Infectious disease,R-HSA-68616~Assembly of the ORC complex at the origin of replication,R-HSA-68867~Assembly of the pre-replicative complex,R-HSA-69002~DNA Replication Pre-Initiation,R-HSA-69306~DNA Replication,R-HSA-75153~Apoptotic execution phase,R-HSA-909733~Interferon alpha/beta signaling,R-HSA-913531~Interferon Signaling,R-HSA-9635486~Infection with Mycobacterium tuberculosis,R-HSA-9636249~Inhibition of nitric oxide production,R-HSA-9637687~Suppression of phagosomal maturation,R-HSA-9637690~Response of Mtb to phagocytosis,R-HSA-9824439~Bacterial Infection Pathways,R-HSA-9824446~Viral Infection Pathways,
KPNA4	karyopherin subunit alpha 4(KPNA4)	Homo sapiens	R-HSA-1169408~ISG15 antiviral mechanism,R-HSA-1169410~Antiviral mechanism by IFN-stimulated genes,R-HSA-1280215~Cytokine Signaling in Immune system,R-HSA-1643685~Disease,R-HSA-168255~Influenza Infection,R-HSA-168256~Immune System,R-HSA-168276~NS1 Mediated Effects on Host Pathways,R-HSA-5663205~Infectious disease,R-HSA-913531~Interferon Signaling,R-HSA-9824446~Viral Infection Pathways,
KPNB1	karyopherin subunit beta 1(KPNB1)	Homo sapiens	R-HSA-109581~Apoptosis,R-HSA-1169408~ISG15 antiviral mechanism,R-HSA-1169410~Antiviral mechanism by IFN-stimulated genes,R-HSA-1280215~Cytokine Signaling in Immune system,R-HSA-140342~Apoptosis induced DNA fragmentation,R-HSA-1430728~Metabolism,R-HSA-162906~HIV Infection,R-HSA-162909~Host Interactions of HIV factors,R-HSA-1640170~Cell Cycle,R-HSA-1643685~Disease,R-HSA-1655829~Regulation of cholesterol biosynthesis by SREBP (SREBF),R-HSA-168249~Innate Immune System,R-HSA-168255~Influenza Infection,R-HSA-168256~Immune System,R-HSA-168271~Transport of Ribonucleoproteins into the Host Nucleus,R-HSA-168276~NS1 Mediated Effects on Host Pathways,R-HSA-177243~Interactions of Rev with host cellular proteins,R-HSA-180746~Nuclear import of Rev protein,R-HSA-2555396~Mitotic Metaphase and Anaphase,R-HSA-2995383~Initiation of Nuclear Envelope (NE) Reformation,R-HSA-2995410~Nuclear Envelope (NE) Reassembly,R-HSA-5357801~Programmed Cell Death,R-HSA-556833~Metabolism of lipids,R-HSA-5663205~Infectious disease,R-HSA-6798695~Neutrophil degranulation,R-HSA-68616~Assembly of the ORC complex at the origin of replication,R-HSA-68867~Assembly of the pre-replicative complex,R-HSA-68882~Mitotic Anaphase,R-HSA-68886~M Phase,R-HSA-69002~DNA Replication Pre-Initiation,R-HSA-69278~Cell Cycle, Mitotic,R-HSA-69306~DNA Replication,R-HSA-75153~Apoptotic execution phase,R-HSA-8957322~Metabolism of steroids,R-HSA-909733~Interferon alpha/beta signaling,R-HSA-913531~Interferon Signaling,R-HSA-9615933~Postmitotic nuclear pore complex (NPC) reformation,R-HSA-9635486~Infection with Mycobacterium tuberculosis,R-HSA-9636249~Inhibition of nitric oxide production,R-HSA-9637687~Suppression of phagosomal maturation,R-HSA-9637690~Response of Mtb to phagocytosis,R-HSA-9678108~SARS-CoV-1 Infection,R-HSA-9679506~SARS-CoV Infections,R-HSA-9692914~SARS-CoV-1-host interactions,R-HSA-9692916~SARS-CoV-1 activates/modulates innate immune responses,R-HSA-9824439~Bacterial Infection Pathways,R-HSA-9824446~Viral Infection Pathways,
KIF22	kinesin family member 22(KIF22)	Homo sapiens	R-HSA-109582~Hemostasis,R-HSA-1280218~Adaptive Immune System,R-HSA-168256~Immune System,R-HSA-199991~Membrane Trafficking,R-HSA-2132295~MHC class II antigen presentation,R-HSA-5653656~Vesicle-mediated transport,R-HSA-6811434~COPI-dependent Golgi-to-ER retrograde traffic,R-HSA-6811442~Intra-Golgi and retrograde Golgi-to-ER traffic,R-HSA-8856688~Golgi-to-ER retrograde transport,R-HSA-983189~Kinesins,R-HSA-983231~Factors involved in megakaryocyte development and platelet production,
LDHB	lactate dehydrogenase B(LDHB)	Homo sapiens	R-HSA-1428517~The citric acid (TCA) cycle and respiratory electron transport,R-HSA-1430728~Metabolism,R-HSA-70268~Pyruvate metabolism,R-HSA-71406~Pyruvate metabolism and Citric Acid (TCA) cycle,
LBR	lamin B receptor(LBR)	Homo sapiens	R-HSA-1430728~Metabolism,R-HSA-162582~Signal Transduction,R-HSA-1640170~Cell Cycle,R-HSA-191273~Cholesterol biosynthesis,R-HSA-194315~Signaling by Rho GTPases,R-HSA-212436~Generic Transcription Pathway,R-HSA-2555396~Mitotic Metaphase and Anaphase,R-HSA-2995383~Initiation of Nuclear Envelope (NE) Reformation,R-HSA-2995410~Nuclear Envelope (NE) Reassembly,R-HSA-556833~Metabolism of lipids,R-HSA-68882~Mitotic Anaphase,R-HSA-68886~M Phase,R-HSA-69278~Cell Cycle, Mitotic,R-HSA-73857~RNA Polymerase II Transcription,R-HSA-74160~Gene expression (Transcription),R-HSA-8957322~Metabolism of steroids,R-HSA-8980692~RHOA GTPase cycle,R-HSA-8986944~Transcriptional Regulation by MECP2,R-HSA-9012999~RHO GTPase cycle,R-HSA-9013106~RHOC GTPase cycle,R-HSA-9013148~CDC42 GTPase cycle,R-HSA-9013149~RAC1 GTPase cycle,R-HSA-9013404~RAC2 GTPase cycle,R-HSA-9013405~RHOD GTPase cycle,R-HSA-9013408~RHOG GTPase cycle,R-HSA-9013423~RAC3 GTPase cycle,R-HSA-9022692~Regulation of MECP2 expression and activity,R-HSA-9716542~Signaling by Rho GTPases, Miro GTPases and RHOBTB3,
LMNB1	lamin B1(LMNB1)	Homo sapiens	R-HSA-109581~Apoptosis,R-HSA-111465~Apoptotic cleavage of cellular proteins,R-HSA-1221632~Meiotic synapsis,R-HSA-1280215~Cytokine Signaling in Immune system,R-HSA-1474165~Reproduction,R-HSA-1500620~Meiosis,R-HSA-162582~Signal Transduction,R-HSA-1640170~Cell Cycle,R-HSA-1643685~Disease,R-HSA-168256~Immune System,R-HSA-194315~Signaling by Rho GTPases,R-HSA-2262752~Cellular responses to stress,R-HSA-2555396~Mitotic Metaphase and Anaphase,R-HSA-2559583~Cellular Senescence,R-HSA-2559584~Formation of Senescence-Associated Heterochromatin Foci (SAHF),R-HSA-2559586~DNA Damage/Telomere Stress Induced Senescence,R-HSA-2980766~Nuclear Envelope Breakdown,R-HSA-2995383~Initiation of Nuclear Envelope (NE) Reformation,R-HSA-2995410~Nuclear Envelope (NE) Reassembly,R-HSA-352238~Breakdown of the nuclear lamina,R-HSA-4419969~Depolymerization of the Nuclear Lamina,R-HSA-447115~Interleukin-12 family signaling,R-HSA-449147~Signaling by Interleukins,R-HSA-5357801~Programmed Cell Death,R-HSA-68875~Mitotic Prophase,R-HSA-68882~Mitotic Anaphase,R-HSA-68886~M Phase,R-HSA-69278~Cell Cycle, Mitotic,R-HSA-75153~Apoptotic execution phase,R-HSA-8862803~Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models,R-HSA-8863678~Neurodegenerative Diseases,R-HSA-8950505~Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation,R-HSA-8953897~Cellular responses to stimuli,R-HSA-9012999~RHO GTPase cycle,R-HSA-9013405~RHOD GTPase cycle,R-HSA-9020591~Interleukin-12 signaling,R-HSA-9035034~RHOF GTPase cycle,R-HSA-9645723~Diseases of programmed cell death,R-HSA-9716542~Signaling by Rho GTPases, Miro GTPases and RHOBTB3,R-HSA-9734009~Defective Intrinsic Pathway for Apoptosis,
LAMTOR1	late endosomal/lysosomal adaptor, MAPK and MTOR activator 1(LAMTOR1)	Homo sapiens	R-HSA-1257604~PIP3 activates AKT signaling,R-HSA-162582~Signal Transduction,R-HSA-1632852~Macroautophagy,R-HSA-165159~MTOR signalling,R-HSA-166208~mTORC1-mediated signalling,R-HSA-168249~Innate Immune System,R-HSA-168256~Immune System,R-HSA-194315~Signaling by Rho GTPases,R-HSA-212436~Generic Transcription Pathway,R-HSA-2262752~Cellular responses to stress,R-HSA-3700989~Transcriptional Regulation by TP53,R-HSA-380972~Energy dependent regulation of mTOR by LKB1-AMPK,R-HSA-5628897~TP53 Regulates Metabolic Genes,R-HSA-6798695~Neutrophil degranulation,R-HSA-6807070~PTEN Regulation,R-HSA-73857~RNA Polymerase II Transcription,R-HSA-74160~Gene expression (Transcription),R-HSA-8943724~Regulation of PTEN gene transcription,R-HSA-8953897~Cellular responses to stimuli,R-HSA-9006925~Intracellular signaling by second messengers,R-HSA-9012999~RHO GTPase cycle,R-HSA-9013148~CDC42 GTPase cycle,R-HSA-9013149~RAC1 GTPase cycle,R-HSA-9013404~RAC2 GTPase cycle,R-HSA-9013406~RHOQ GTPase cycle,R-HSA-9013407~RHOH GTPase cycle,R-HSA-9013408~RHOG GTPase cycle,R-HSA-9013409~RHOJ GTPase cycle,R-HSA-9013423~RAC3 GTPase cycle,R-HSA-9612973~Autophagy,R-HSA-9639288~Amino acids regulate mTORC1,R-HSA-9711097~Cellular response to starvation,R-HSA-9716542~Signaling by Rho GTPases, Miro GTPases and RHOBTB3,
LMAN1	lectin, mannose binding 1(LMAN1)	Homo sapiens	R-HSA-162582~Signal Transduction,R-HSA-194315~Signaling by Rho GTPases,R-HSA-199977~ER to Golgi Anterograde Transport,R-HSA-199991~Membrane Trafficking,R-HSA-204005~COPII-mediated vesicle transport,R-HSA-392499~Metabolism of proteins,R-HSA-446203~Asparagine N-linked glycosylation,R-HSA-5653656~Vesicle-mediated transport,R-HSA-5694530~Cargo concentration in the ER,R-HSA-597592~Post-translational protein modification,R-HSA-8980692~RHOA GTPase cycle,R-HSA-9012999~RHO GTPase cycle,R-HSA-9013106~RHOC GTPase cycle,R-HSA-9013404~RAC2 GTPase cycle,R-HSA-9013405~RHOD GTPase cycle,R-HSA-9013408~RHOG GTPase cycle,R-HSA-9013423~RAC3 GTPase cycle,R-HSA-948021~Transport to the Golgi and subsequent modification,R-HSA-9716542~Signaling by Rho GTPases, Miro GTPases and RHOBTB3,
